Food,Category,Calories,Protein,Carbs,Fat,Tags
Oats,Grain,389,17.0,66.0,7.0,vegan|vegetarian|halal|gluten-free
Quinoa,Grain,120,4.1,21.0,1.9,vegan|vegetarian|halal|gluten-free
Wheat Bread,Grain,247,13.0,41.0,4.2,vegan|vegetarian|halal
Pasta,Grain,131,5.0,25.0,1.1,vegetarian|halal
Corn,Grain,86,3.2,19.0,1.2,vegan|vegetarian|halal|gluten-free
Barley,Grain,354,12.0,73.0,2.3,vegan|vegetarian|halal
Millet,Grain,119,3.5,23.7,1.0,vegan|vegetarian|halal|gluten-free
Buckwheat,Grain,343,13.0,71.5,3.4,vegan|vegetarian|halal|gluten-free
Milk (Whole),Dairy,60,3.2,5.0,3.3,vegetarian|halal|gluten-free
Milk (Skim),Dairy,34,3.4,5.0,0.1,vegetarian|halal|gluten-free
Cheddar Cheese,Dairy,403,25.0,1.3,33.0,vegetarian|halal|gluten-free
Yogurt (Plain),Dairy,59,10.0,3.6,0.4,vegetarian|halal|gluten-free
Paneer,Dairy,265,18.0,1.2,20.0,vegetarian|halal|gluten-free
Butter,Dairy,717,0.9,0.1,81.0,vegetarian|halal|gluten-free
Ghee,Dairy,900,0.0,0.0,100.0,vegetarian|halal|gluten-free
Ice Cream,Dairy,207,3.5,24.0,11.0,vegetarian|halal
Cream,Dairy,340,2.0,3.0,36.0,vegetarian|halal|gluten-free
Mozzarella,Dairy,280,28.0,3.0,17.0,vegetarian|halal|gluten-free
Chicken Breast,Meat,165,31.0,0.0,3.6,halal|gluten-free
Chicken Thigh,Meat,209,26.0,0.0,10.9,halal|gluten-free
Egg (Boiled),Protein,68,6.3,0.6,4.8,vegetarian(egg)|halal|gluten-free
Fish (Salmon),Meat,208,20.0,0.0,13.0,halal|gluten-free
Fish (Tuna),Meat,132,28.0,0.0,1.3,halal|gluten-free
Lamb,Meat,294,25.0,0.0,21.0,halal|gluten-free
Beef,Meat,250,26.0,0.0,15.0,halal|gluten-free
Prawns,Meat,99,24.0,0.2,0.3,halal|gluten-free
Turkey,Meat,189,29.0,0.0,7.0,halal|gluten-free
Duck,Meat,337,19.0,0.0,28.0,halal|gluten-free
Almonds,Nuts,579,21.0,22.0,50.0,vegan|vegetarian|halal|gluten-free
Cashews,Nuts,553,18.0,30.0,44.0,vegan|vegetarian|halal|gluten-free
Walnuts,Nuts,654,15.0,14.0,65.0,vegan|vegetarian|halal|gluten-free
Peanuts,Nuts,567,26.0,16.0,49.0,vegan|vegetarian|halal|gluten-free
Chia Seeds,Seeds,486,17.0,42.0,31.0,vegan|vegetarian|halal|gluten-free
Flax Seeds,Seeds,534,18.0,29.0,42.0,vegan|vegetarian|halal|gluten-free
Pumpkin Seeds,Seeds,559,30.0,11.0,49.0,vegan|vegetarian|halal|gluten-free
Sunflower Seeds,Seeds,584,21.0,20.0,51.0,vegan|vegetarian|halal|gluten-free
Dark Chocolate,Snack,546,4.9,61.0,31.0,vegetarian|halal
Potato Chips,Snack,536,7.0,53.0,35.0,vegetarian|halal
Food1,Fruit,100,5.0,20.0,2.0,vegetarian|halal
Food2,Vegetable,101,6.0,21.0,3.0,vegetarian|halal
Food3,Grain,102,7.0,22.0,4.0,vegetarian|halal
Food4,Dairy,103,8.0,23.0,5.0,vegetarian|halal
Food5,Meat,104,9.0,24.0,6.0,vegetarian|halal
Food6,Snack,105,10.0,25.0,2.0,vegetarian|halal
Food7,Fruit,106,11.0,26.0,3.0,vegetarian|halal
Food8,Vegetable,107,12.0,27.0,4.0,vegetarian|halal
Food9,Grain,108,13.0,28.0,5.0,vegetarian|halal
Food10,Dairy,109,14.0,29.0,6.0,vegetarian|halal
Food11,Meat,110,5.0,30.0,2.0,vegetarian|halal
Food12,Snack,111,6.0,31.0,3.0,vegetarian|halal
Food13,Fruit,112,7.0,32.0,4.0,vegetarian|halal
Food14,Vegetable,113,8.0,33.0,5.0,vegetarian|halal
Food15,Grain,114,9.0,34.0,6.0,vegetarian|halal
Food16,Dairy,115,10.0,20.0,2.0,vegetarian|halal
Food17,Meat,116,11.0,21.0,3.0,vegetarian|halal
Food18,Snack,117,12.0,22.0,4.0,vegetarian|halal
Food19,Fruit,118,13.0,23.0,5.0,vegetarian|halal
Food20,Vegetable,119,14.0,24.0,6.0,vegetarian|halal
Food21,Grain,120,5.0,25.0,2.0,vegetarian|halal
Food22,Dairy,121,6.0,26.0,3.0,vegetarian|halal
Food23,Meat,122,7.0,27.0,4.0,vegetarian|halal
Food24,Snack,123,8.0,28.0,5.0,vegetarian|halal
Food25,Fruit,124,9.0,29.0,6.0,vegetarian|halal
Food26,Vegetable,125,10.0,30.0,2.0,vegetarian|halal
Food27,Grain,126,11.0,31.0,3.0,vegetarian|halal
Food28,Dairy,127,12.0,32.0,4.0,vegetarian|halal
Food29,Meat,128,13.0,33.0,5.0,vegetarian|halal
Food30,Snack,129,14.0,34.0,6.0,vegetarian|halal
Food31,Fruit,130,5.0,20.0,2.0,vegetarian|halal
Food32,Vegetable,131,6.0,21.0,3.0,vegetarian|halal
Food33,Grain,132,7.0,22.0,4.0,vegetarian|halal
Food34,Dairy,133,8.0,23.0,5.0,vegetarian|halal
Food35,Meat,134,9.0,24.0,6.0,vegetarian|halal
Food36,Snack,135,10.0,25.0,2.0,vegetarian|halal
Food37,Fruit,136,11.0,26.0,3.0,vegetarian|halal
Food38,Vegetable,137,12.0,27.0,4.0,vegetarian|halal
Food39,Grain,138,13.0,28.0,5.0,vegetarian|halal
Food40,Dairy,139,14.0,29.0,6.0,vegetarian|halal
